"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-02-16","70",",,U","88","H,,U","55","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-02-17","74",",,U","92","H,,U","62","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-02-18","62",",,U","78","H,,U","50","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-02-19","51",",,U","63","H,,U","46","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-02-20","54",",,U","70","H,,U","46","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-02-21","55",",,U","72","H,,U","45","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-02-22","48",",,U","59","H,,U","41","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-02-23","47",",,U","55","H,,U","39","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-02-24","53",",,U","72","H,,U","41","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-02-25","51",",,U","60","H,,U","42","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-02-26","53",",,U","67","H,,U","45","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-02-27","50",",,U","62","H,,U","41","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-02-28","47",",,U","60","H,,U","38","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-01","51",",,U","68","H,,U","42","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-02","57",",,U","74","H,,U","45","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-03","65",",,U","80","H,,U","53","H,,U"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","34.125","-118.4122","384.0","2007-03-04","66",",,U","81","H,,U","55","H,,U"
